,original_title,genre,release_year,runtime,overview,mood
1597,Bridget Jones's Diary,Comedy,2001,1.5,"A chaotic Bridget Jones meets a snobbish lawyer, and he soon enters her world of imperfections.",Happy
1598,Chocolat,Comedy,2000,2.0,"A fable of emotional liberation and chocolate. A mother and daughter move to a small French town where they open a chocolate shop. The town, religious and morally strict, is against them as they represent freethinking and indulgence. When a group of Boat Gypsies float down the river the prejudices of the Mayor leads to a crisis.",Happy
1599,"Legally Blonde 2 Red, White & Blonde",Comedy,2003,1.5,"After Elle Woods, the eternally perky, fashionably adventurous, famously blonde Harvard Law grad gets fired by her law firm because of her opposition to animal testing, she takes her fight to Washington. As an aide for Congresswoman Victoria Rudd, she pushes for a bill to ban testing once and for all, but it's her building's doorman who advises her on how to get her way on the Hill.",Happy
1600,Parental Guidance,Comedy,2012,1.5,Artie and Diane agree to look after their three grandkids when their typeA helicopter parents need to leave town for work. Problems arise when the kids' 21stcentury behavior collides with Artie and Diane's oldschool methods.,Happy
1601,No Strings Attached,Comedy,2011,2.0,"Emma is a busy doctor who sets up a seemingly perfect arrangement when she offers her best friend Adam a relationship with one rule No strings attached. But when a fling becomes a thing, can sex friends stay best friends?",Happy
1602,Tombstone,Action,1993,2.0,"Legendary marshal Wyatt Earp, now a weary gunfighter, joins his brothers Morgan and Virgil to pursue their collective fortune in the thriving mining town of Tombstone. But Earp is forced to don a badge again and get help from his notorious pal Doc Holliday when a gang of renegade brigands and rustlers begins terrorizing the town.",Happy
1603,Romeo Must Die,Action,2000,2.0,"Two warring gang families (one AfricanAmerican, the other Chinese) maneuver for bragging rights to the Oakland, California, docks. Hang SIng and Trish O'Day uncover a trail of deceit that leaves most of the warring factions dead  or worse!",Happy
1604,The Omen,Horror,1976,2.0,"Immediately after their miscarriage, the US diplomat Robert Thorn adopts the newborn Damien without the knowledge of his wife. Yet what he doesnt know is that their new son is the son of the devil. A classic horror film with Gregory Peck from 1976.",Happy
1605,Final Destination 3,Horror,2006,1.5,"A student's premonition of a deadly rollercoaster ride saves her life and a lucky few, but not from death itself  which seeks out those who escaped their fate.",Happy
1606,The Lucky One,Drama,2012,1.5,"U.S. Marine Sergeant Logan Thibault returns from his third tour of duty in Iraq, with the one thing he credits with keeping him alivea photograph he found of a woman he doesn't even know. Learning her name is Beth and where she lives, he shows up at her door, and ends up taking a job at her familyrun local kennel. Despite her initial mistrust and the complications in her life, a romance develops between them, giving Logan hope that Beth could be much more than his good luck charm.",Happy
1607,Bridge to Terabithia,Adventure,2007,1.5,"Jesse Aarons trained all summer to become the fastest runner in school, so he's very upset when newcomer Leslie Burke outruns him and everyone else. Despite this and other differences, including that she's rich, he's poor, and she's a city girl, he's a country boy, the two become fast friends. Together, they create Terabithia, a land of monsters, trolls, ogres, and giants and rule as king and queen.",Happy
1608,Finding Neverland,Drama,2004,2.0,Finding Neverland is an amusing drama about how the story of Peter Pan and Neverland came to be. During a writing slump play writer J.M. Barrie meets the widowed Sylvia and her three children who soon become an important part of Barries life and the inspiration that lead him to create his masterpiece Peter Pan.�,Happy
1609,The Grey,Action,2012,2.0,An oil drilling team struggles to survive after a plane crash strands them in the wilds of Alaska. Hunting them is a pack of wolves that sees them as intruders.,Happy
1610,Hide and Seek,Horror,2005,1.5,"David Callaway tries to piece together his life in the wake of his wife's suicide and has been left to raise his nineyearold daughter, Emily on his own. David is at first amused to discover that Emily has created an imaginary friend named 'Charlie', but it isn't long before 'Charlie' develops a sinister and violent side, and as David struggles with his daughter's growing emotional problems, he comes to the frightening realisation that 'Charlie' isn't just a figment of Emily's imagination.",Happy
1611,Anchorman The Legend of Ron Burgundy,Comedy,2004,1.5,"It's the 1970s, and San Diego supersexist anchorman Ron Burgundy is the top dog in local TV, but that's all about to change when ambitious reporter Veronica Corningstone arrives as a new employee at his station.",Happy
1612,GoodFellas,Drama,1990,2.5,"The true story of Henry Hill, a halfIrish, halfSicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",Happy
1613,Agent Cody Banks,Action,2003,1.5,"Recruited by the U.S. government to be a special agent, nerdy teenager Cody Banks must get closer to cute classmate Natalie in order to learn about an evil plan hatched by her father. But despite the agent persona, Cody struggles with teen angst.",Happy
1614,Nanny McPhee,Fantasy,2005,1.5,"Widower Cedric Brown (Colin Firth) hires Nanny McPhee (Emma Thompson) to care for his seven rambunctious children, who have chased away all previous nannies. Taunted by Simon (Thomas Sangster) and his siblings, Nanny McPhee uses mystical powers to instill discipline. And when the children's greataunt and benefactor, Lady Adelaide Stitch (Angela Lansbury), threatens to separate the kids, the family pulls together under the guidance of Nanny McPhee.",Happy
1615,Scarface,Action,1983,3.0,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drugfueled paranoia serve to fuel the flames of his eventual downfall.",Happy
1616,The Last Emperor,Drama,1987,2.5,"A dramatic history of Pu Yi, the last of the Emperors of China, from his lofty birth and brief reign in the Forbidden City, the object of worship by half a billion people through his abdication, his decline and dissolute lifestyle his exploitation by the invading Japanese, and finally to his obscure existence as just another peasant worker in the People's Republic.",Happy
1617,Contraband,Thriller,2012,2.0,"When his brotherinlaw runs afoul of a drug lord, family man Chris Farraday turns to a skill he abandoned long ago  smuggling  to repay the debt. But the job goes wrong, and Farraday finds himself wanted by cops, crooks and killers alike.",Happy
1618,There Will Be Blood,Drama,2007,2.5,"When ruthless oil prospector, Daniel Plainview learns of oilrich land in California that can be bought cheaply, he moves his operation there and begins manipulating and exploiting the local landowners into selling him their property. Using his young adopted son to project the image of a caring family man, Plainview gains the cooperation of almost all the locals with lofty promises to build schools and cultivate the land to make their community flourish. Over time, Plainview's gradual accumulation of wealth and power causes his true self to surface, and he begins to slowly alienate himself from everyone in his life.",Happy
1619,Undercover Brother,Action,2002,1.5,"An AfroAmerican organization, the B.R.O.T.H.E.R.H.O.O.D., is in permanent fight against a white organization The Man defending the values of the black people in North America. When the AfroAmerican candidate Gen. Warren Boutwell behaves strangely in his presidential campaign, Undercover Brother is hired to work undercover for The Man and find what happened with the potential candidate.",Happy
1620,The Sisterhood of the Traveling Pants,Drama,2005,2.0,"Four best friends (Tibby, Lena, Carmen Bridget) who buy a mysterious pair of pants that fits each of them, despite their differing sizes, and makes whoever wears them feel fabulous. When faced with the prospect of spending their first summer apart, the pals decide they'll swap the pants so that each girl in turn can enjoy the magic.",Happy
1621,Kiss of the Dragon,Action,2001,1.5,"Liu Jian, an elite Chinese police officer, comes to Paris to arrest a Chinese drug lord. When Jian is betrayed by a French officer and framed for murder, he must go into hiding and find new allies.",Happy
1622,The House Bunny,Romance,2008,1.5,"Shelley is living a carefree life until a rival gets her tossed out of the Playboy Mansion. With nowhere to go, fate delivers her to the sorority girls from Zeta Alpha Zeta. Unless they can sign a new pledge class, the seven socially clueless women will lose their house to the scheming girls of Phi Iota Mu. In order to accomplish their goal, they need Shelley to teach them the ways of makeup and men at the same time, Shelley needs some of what the Zetas have  a sense of individuality. The combination leads all the girls to learn how to stop pretending and start being themselves.",Happy
1623,Beauty Shop,Comedy,2005,2.0,"You thought you'd heard it all in the barbershop, but you haven't heard anything yet  the women get their own chance to shampoo, shine, and speak their minds in Beauty Shop.",Happy
1624,Million Dollar Arm,Drama,2014,2.0,"In a lastditch effort to save his career, sports agent JB Bernstein (Jon Hamm) dreams up a wild game plan to find Major League Baseballs next great pitcher from a pool of cricket players in India. He soon discovers two young men who can throw a fastball but know nothing about the game of baseball. Or America. Its an incredible and touching journey that will change them all  especially JB, who learns valuable lessons about teamwork, commitment and family.",Happy
1625,The Giver,Drama,2014,1.5,"In a seemingly perfect community, without war, pain, suffering, differences or choice, a young boy is chosen to learn from an elderly man about the true pain and pleasure of the real world.",Happy
1626,Jeepers Creepers 2,Horror,2003,1.5,"After 23 horrifying days of gorging on human flesh, an ancient creature known as the Creeper embarks on a final voracious feeding frenzy, terrorizing a group of varsity basketball players, cheerleaders and coaches stranded on a remote highway when their bus breaks down. The terrified group is forced to come together and do battle against the winged creature hellbent on completing its grizzly ritual.",Happy
1627,Good Luck Chuck,Comedy,2007,1.5,"Cursed since childhood, dentist Charlie Kagan cannot find the right woman. Even worse, he learns that each of his exgirlfriends finds true love with the man she meets after her relationship with him ends. Hearing of Charlie's reputation as a goodluck charm, women from all over line up for a quick tryst. But when Charlie meets the woman of his dreams, he must find a way to break the curse or risk losing her to the next man she meets.",Happy
1628,Cradle 2 the Grave,Action,2003,1.5,"Gang leader Tony pulls off a major diamond heist with his crew, but copturnedcriminal Ling knows who has the loot and responds by kidnapping Tony's daughter and holding her for ransom. Unfortunately, Tony's lost the diamonds as well. As he frantically searches for his daughter and the jewels, Tony pairs with a highkicking government agent who once worked with Ling and seeks revenge on him.",Happy
1629,The Hours,Drama,2002,2.0,"The Hours is the story of three women searching for more potent, meaningful lives. Each is alive at a different time and place, all are linked by their yearnings and their fears. Their stories intertwine, and finally come together in a surprising, transcendent moment of shared recognition.",Happy
1630,She's the Man,Comedy,2006,2.0,"Viola Johnson is in a real jam. Complications threaten her scheme to pose as her twin brother, Sebastian, and take his place at a new boarding school. She falls in love with her handsome roommate, Duke, who loves beautiful Olivia, who has fallen for Sebastian! As if that were not enough, Viola's twin returns from London ahead of schedule but has no idea that his sister has already replaced him on campus.",Happy
1631,Mr. Bean's Holiday,Family,2007,1.5,"Mr. Bean wins a trip to Cannes where he unwittingly separates a young boy from his father and must help the two reunite. On the way he discovers France, bicycling and true love, among other things.",Happy
1632,Anacondas The Hunt for the Blood Orchid,Adventure,2004,1.5,"The blood orchid  A rare flower that holds the secret of eternal life and a fortune to the pharmaceutical company that finds it. Led by a twofisted soldier of fortune, a scientific expedition is sent deep into the jungles of Borneo to locate and bring back samples of the legendary plant. Battling their way upriver, the explorers brave poisonous insects, ferocious crocodiles and savage headhunters, unaware they're being stalked by an even greater danger a nest of giant anacondas, voracious, fiftyfootlong flesheaters who'll stop at nothing to protect their breeding ground, the blood orchid's home.",Happy
1633,Blood Ties,Thriller,2013,2.0,"Two brothers, on either side of the law, face off over organized crime in Brooklyn during the 1970s.",Inspired
1634,August Rush,Drama,2007,2.0,"A drama with fairy tale elements, where an orphaned musical prodigy uses his gift as a clue to finding his birth parents.",Happy
1635,Elizabeth,Drama,1998,2.0,"The story of the ascension to the throne and the early reign of Queen Elizabeth the First, the endless attempts by her council to marry her off, the Catholic hatred of her and her romance with Lord Robert Dudley.",Happy
1636,Bride of Chucky,Horror,1998,1.5,"Chucky hooks up with another murderous doll, the bridal gownclad Tiffany, for a Route 66 murder spree with their unwitting hosts.",Happy
1637,Tora! Tora! Tora!,History,1970,2.5,"In the summer of 1941, the United States and Japan seem on the brink of war after constant embargos and failed diplomacy come to no end. Tora! Tora! Tora!, named after the code words use by the lead Japanese pilot to indicate they had surprised the Americans, covers the days leading up to the attack on Pearl Harbor, which plunged America into the Second World War.",Happy
1638,Spice World,Adventure,1997,1.5,"The film follows the Spice Girls and their entourage (mostly fictional characters)  manager Clifford, his assistant Deborah, filmmaker Piers (who is trying to shoot a documentary on the real Spice Girls) and others in their everyday life.",Happy
1639,The Sitter,Comedy,2011,1.5,"Noah, is not your typical entertainthekidsnomatterhowboringitis kind of sitter. He's reluctant to take a sitting gig he'd rather, well, be doing anything else, especially if it involves slacking. When Noah is watching the neighbor's kid he gets a booty call from his girlfriend in the city. To hook up with her, Noah takes to the streets, but his urban adventure spins out of control as he finds himself on the run from a maniacal drug lord.",Happy
1640,The Shawshank Redemption,Drama,1994,2.5,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates including an older prisoner named Red for his integrity and unquenchable sense of hope.",Happy
1641,Crocodile Dundee in Los Angeles,Adventure,2001,1.5,"After settling in the tiny Australian town of Walkabout Creek with his significant other and his young son, Mick Crocodile Dundee is thrown for a loop when a prestigious Los Angeles newspaper offers his honey a job. The family migrates back to the United States, and Croc and son soon find themselves learning some lessons about American life many of them inadvertent",Happy
1642,Kingpin,Comedy,1996,2.0,"After bowler Roy Munson swindles the wrong crowd and is left with a hook for a hand, he settles into impoverished obscurity. That is, until he uncovers the next big thing an Amish kid named Ishmael. So, the corrupt and the hopelessly naive hit the circuit intent on settling an old score with Big Ern.",Happy
1643,The Gambler,Thriller,2014,2.0,"Literature professor Jim Bennett leads a secret life as a highstakes gambler. Always a risktaker, Bennett bets it all when he borrows from a gangster and offers his own life as collateral. Staying one step ahead, he pits his creditor against the operator of an illicit gambling ring while garnering the attention of Frank, a paternalistic loan shark. As his relationship with a student deepens, Bennett must risk everything for a second chance.",Happy
1644,August Osage County,Comedy,2013,2.0,"A look at the lives of the strongwilled women of the Weston family, whose paths have diverged until a family crisis brings them back to the Midwest house they grew up in, and to the dysfunctional woman who raised them.",Happy
1645,Ice Princess,Drama,2005,1.5,"With the help of her coach, her parents, and the boy who drives the Zamboni machine, nothing can stop Casey (Trachtenberg) from realizing her dream to be a champion figure skater.",Happy
1646,A Lot Like Love,Comedy,2005,2.0,"On a flight from Los Angeles to New York, Oliver and Emily make a connection, only to decide that they are poorly suited to be together. Over the next seven years, however, they are reunited time and time again, they go from being acquaintances to close friends to  lovers?",Happy
1647,Eddie the Eagle,Comedy,2016,2.0,"Inspired by true events, Eddie the Eagle is a feelgood story about Michael Eddie Edwards (Taron Egerton), an unlikely but courageous British skijumper who never stopped believing in himself  even as an entire nation was counting him out. With the help of a rebellious and charismatic coach (played by Hugh Jackman), Eddie takes on the establishment and wins the hearts of sports fans around the world by making an improbable and historic showing at the 1988 Calgary Winter Olympics.",Happy
1648,He Got Game,Drama,1998,2.5,A basketball player's father must try to convince him to go to a college so he can get a shorter sentence.,Happy
1649,Don Juan DeMarco,Romance,1994,1.5,"John Arnold DeMarco is a man who believes he is Don Juan, the greatest lover in the world. Clad in a cape and mask, DeMarco undergoes psychiatric treatment with Dr. Jack Mickler to cure him of his apparent delusion. But the psychiatric sessions have an unexpected effect on the psychiatric staff and, most profoundly, Dr Mickler, who rekindles the romance in his complacent marriage.",Happy
1650,Dear John,Drama,2010,2.0,Sergeant John Tyree is home on a 2 week leave from Germany. He meets Savannah after he dives into the ocean to retrieve Savannah's purse that had fallen off the pier. John falls in love with Savannah who is a student on spring break helping build a house for Habitat for Humanity. A romance occurs and Savannah falls deeply in love with John. She promises to write John overseas until he returns.,Happy
1651,The Losers,Action,2010,1.5,"A tale of double cross and revenge, centered upon the members of an elite U.S. Special Forces unit sent into the Bolivian jungle on a search and destroy mission. The teamClay, Jensen, Roque, Pooch and Cougar find themselves the target of a lethal betrayal instigated from inside by a powerful enemy known only as Max. Presumed dead, the group makes plans to even the score when they're joined by the mysterious Aisha, a beautiful operative with her own agenda. Working together, they must remain deep undercover while tracking the heavilyguarded Max, a ruthless man bent on embroiling the world in a new hightech global war.",Happy
1652,Don't Be Afraid of the Dark,Fantasy,2010,1.5,A young girl sent to live with her father and his new girlfriend discovers creatures in her new home who want to claim her as one of their own.,Happy
1653,War,Action,2007,1.5,"FBI agent Jack Crawford is out for revenge when his partner is killed and all clues point to the mysterious assassin Rogue. But when Rogue turns up years later to take care of some unfinished business, he triggers a violent clash of rival gangs. Will the truth come out before it's too late? And when the dust settles, who will remain standing?",Happy
1654,PunchDrunk Love,Comedy,2002,1.5,A beleaguered smallbusiness owner gets a harmonium and embarks on a romantic journey with a mysterious woman.,Happy
1655,EuroTrip,Comedy,2004,1.5,"When Scott learns that his longtime cyberbuddy from Berlin is a gorgeous young woman, he and his friends embark on a trip across Europe.",Happy
1656,The Greatest Game Ever Played,Drama,2005,2.0,"A biopic of 20yearold Francis Ouimet who defeated his golfing idol and 1900 US Open Champion, Harry Vardon.",Happy
1657,The Box,Thriller,2009,2.0,"Norma and Arthur Lewis, a suburban couple with a young child, receive a simple wooden box as a gift, which bears fatal and irrevocable consequences. A mysterious stranger delivers the message that the box promises to bestow upon its owner $1 million with the press of a button. However pressing this button will simultaneously cause the death of another human being somewhere in the world someone they don't know. With just 24 hours to have the box in their possession, Norma and Arthur find themselves in the crosshairs of a startling moral dilemma and must face the true nature of their humanity.",Happy
1658,The Next Best Thing,Comedy,2000,2.0,"A comedydrama about best friends  one a straight woman, Abbie, the other a gay man, Robert  who decide to have a child together. Five years later, Abbie falls in love with a straight man and wants to move away with her and Robert's little boy Sam, and a nasty custody battle ensues.",Happy
1659,My Soul to Take,Drama,2010,2.0,A serial killer returns to his hometown to stalk seven children who share the same birthday as the date he was allegedly put to rest.,Happy
1660,The Girl Next Door,Comedy,2004,2.0,"Exceptionally ambitious high schooler Matthew has aspirations for a career in politics when he falls in love with his gorgeous 19yearold neighbor, Danielle. But Matthew's bright future is jeopardized when he finds Danielle was once a porn star. As Danielle's past catches up with her, Matthew's love for her forces him to reevaluate his goals.",Happy
1661,Maximum Risk,Action,1996,1.5,"A policeman takes his twin brother's place and inherits his problems and a beautiful girlfriend. He is forced to kickbox his way from France to the U.S. and back while playing footsie with the FBI and Russian mafia. Not just muscles with a badge, the policeman must find the answers to some tough questions, none harder than what the heck is an accordian player doing in a sauna.",Happy
1662,Legend,Crime,2015,2.0,"Suave, charming and volatile, Reggie Kray and his unstable twin brother Ronnie start to leave their mark on the London underworld in the 1960s. Using violence to get what they want, the siblings orchestrate robberies and murders while running nightclubs and protection rackets. With police Detective Leonard Nipper Read hot on their heels, the brothers continue their rapid rise to power and achieve tabloid notoriety.",Happy
1663,Shark Night,Horror,2011,1.5,A weekend at a lake house in the Louisiana Gulf turns into a nightmare for seven vacationers as they are subjected to freshwater shark attacks.,Happy
1664,Angela's Ashes,Drama,1999,2.5,"Based on the best selling autobiography by Irish expat Frank McCourt, Angela's Ashes follows the experiences of young Frankie and his family as they try against all odds to escape the poverty endemic in the slums of prewar Limerick. The film opens with the family in Brooklyn, but following the death of one of Frankie's siblings, they return home, only to find the situation there even worse. Prejudice against Frankie's Northern Irish father makes his search for employment in the Republic difficult despite his having fought for the IRA, and when he does find money, he spends the money on drink.",Happy
1665,Draft Day,Drama,2014,2.0,"At the NFL Draft, general manager Sonny Weaver has the opportunity to rebuild his team when he trades for the number one pick. He must decide what he's willing to sacrifice on a lifechanging day for a few hundred young men with NFL dreams.",Happy
1666,The Conspirator,Crime,2010,2.0,"Mary Surratt is the lone female charged as a coconspirator in the assassination trial of Abraham Lincoln. As the whole nation turns against her, she is forced to rely on her reluctant lawyer to uncover the truth and save her life.",Happy
1667,Lords of Dogtown,Drama,2005,2.0,"The film follows the surf and skateboarding trends that originated in Venice, California during the 1970s.",Happy
1668,The 33,Drama,2015,2.0,"Based on a true story about the collapse at the mine in San Jose, Chile that  left 33 miners isolated underground for 69 days.",Happy
1669,Big Trouble in Little China,Action,1986,1.5,"When trucker, Jack Burton agreed to take his friend, Wang Chi to pick up his fiancee at the airport, he never expected to get involved in a supernatural battle between good and evil. Wang's fiancee has emerald green eyes, which make her a perfect target for immortal sorcerer, Lo Pan and his three invincible cronies. Lo Pan must marry a girl with green eyes so he can regain his physical form.",Happy
1670,Warrior,Action,2011,2.5,"The inspirational story of an estranged family that finds redemption in the unlikeliest of placesthe MMA ring. Tommy Riordan (Tom Hardy), an exmarine with a tragic past, returns home and enlists his father (Nick Nolte), a recovering alcoholic and former wrestling coach, to train him for Sparta�, the biggest MMA tournament ever held. But when Tommys underdog brother, Brendan (Joel Edgerton), fights his way into the tournament, the two brothers must finally confront each other and the forces that pulled them apart. What ensues is the most gutwrenching, soulstirring, and unforgettable battle of their lives.",Happy
1671,Michael Collins,Drama,1996,2.0,"Michael Collins plays a crucial role in the establishment of the Irish Free State in the 1920s, but becomes vilified by those hoping to create a completely independent Irish republic.",Happy
1672,StopLoss,Drama,2008,2.0,"A veteran soldier returns from his completed tour of duty in Iraq, only to find his life turned upside down when he is arbitrarily ordered to return to field duty by the Army.",Happy
1673,Abandon,Drama,2002,1.5,"A psychological thriller about a senior at one of America's most prestigious universities. Under enormous pressure to complete her thesis and earn a top job at one of the world's most competitive consulting firms, Katie is still coping with the sudden unexplained disappearance of her first love two years prior. As the investigation continues, Katie is forced to choose between past passions and new possibilities, even as new facts are uncovered.",Happy
1674,Brokedown Palace,Drama,1999,1.5,"Best friends Alice and Darlene take a trip to Thailand after graduating high school. In Thailand, they meet a captivating Australian man, who calls himself Nick Parks. Darlene is particularly smitten with Nick and convinces Alice to take Nick up on his offer to treat the two of them to what amounts to a day trip to Hong Kong. In the airport, the girls are seized by the police and shocked to discover that one of their bags contains heroin.",Happy
1675,The Possession,Horror,2012,1.5,"A young girl buys an antique box at a yard sale, unaware that inside the collectible lives a malicious ancient spirit. The girl's father teams with his exwife to find a way to end the curse upon their child.",Happy
1676,Mrs. Winterbourne,Comedy,1996,2.0,"Connie Doyle is eighteen and pregnant her boyfriend has kicked her out. She accidentaly ends up on a train where she meets Hugh Winterbourne and his wife Patricia who is pregnant. The train wrecks and she wakes up in the hosptial to find out that it's been assumed that she's Patricia. Hugh's mother takes her in and she falls in love with Hugh's brother Bill. Just when she thinks everything is going her way, her exboyfriend shows up.",Happy
1677,Straw Dogs,Drama,2011,2.0,"L.A. screenwriter David Sumner relocates with his wife, Amy, to her hometown in the deep South. There, while tensions build between them, a brewing conflict with locals becomes a threat to them both.",Happy
1678,The Hoax,Comedy,2006,2.0,"In what would cause a fantastic media frenzy, Clifford Irving sells his bogus biography of Howard Hughes to a premiere publishing house in the early 1970s.",Happy
1679,The Road,Adventure,2009,2.0,"A father and his son walk alone through burned America. Nothing moves in the ravaged landscape save the ash on the wind and water. It is cold enough to crack stones, and, when the snow falls it is gray. The sky is dark. Their destination is the warmer south, although they don't know what, if anything, awaits them there.",Happy
1680,Sheena,Action,1984,2.0,"Sheena's white parents are killed while on Safari. She is raised by the mystical witch woman of an African tribe. When her foster mother is framed for the murder of a political leader, Sheena and a newsman, Vic Casey are forced to flee while pursued by the mercenaries hired by the real killer, who hopes to assume power. Sheena's ability to talk to the animals and knowledge of jungle lore give them a chance against the high tech weapons of the mercenaries.",Happy
1681,Tank Girl,Action,1995,1.5,"Based on the British cult comicstrip, our tankriding antiheroine fights a megacorporation, which controls the world's water supply.",Happy
1682,Blindness,Drama,2008,2.0,"When a sudden plague of blindness devastates a city, a small group of the afflicted band together to triumphantly overcome the horrific conditions of their imposed quarantine.",Happy
1683,BloodRayne,Action,2005,1.5,"In eighteenth century Romania, Rayne, a dhampir (halfhuman, halfvampire), prone to fits of blind blood rage but saddled with a compunction for humans, strives to avenge her mother's rape by her father, Kagan, King of Vampires. Two vampire hunters, Sebastian and Vladimir, from the Brimstone Society persuade her to join their cause.",Happy
1684,Carnage,Comedy,2011,1.5,"After 11yearold Zachary Cowan strikes his classmate across the face with a stick after an argument, the victim's parents invite Zachary's parents to their Brooklyn apartment to deal with the incident in a civilized manner.",Happy
1685,Without Limits,Drama,1998,2.0,"The film follows the life of famous 1970s runner Steve Prefontaine from his youth days in Oregon to the University of Oregon where he worked with the legendary coach Bill Bowerman, later to Olympics in Munich and his early death at 24 in a car crash.",Happy
1686,Me and Orson Welles,Comedy,2009,2.0,"New York, 1937. A teenager hired to star in Orson Welles' production of Julius Caesar becomes attracted to a careerdriven production assistant.",Happy
1687,La migliore offerta,Drama,2013,2.0,"Virgil Oldman is a world renowned antiques expert and auctioneer. An eccentric genius, he leads a solitary life, going to extreme lengths to keep his distance from the messiness of human relationships. When appointed by the beautiful but emotionally damaged Claire to oversee the valuation and sale of her familys priceless art collection, Virgil allows himself to form an attachment to her  and soon he is engulfed by a passion which will rock his bland existence to the core.",Happy
1688,The Bad Lieutenant Port of Call  New Orleans,Drama,2009,2.0,"Terrence McDonagh, a New Orleans Police sergeant, who starts out as a good cop, receiving a medal and a promotion to lieutenant for heroism during Hurricane Katrina. During his heroic act, McDonagh injures his back and later becomes addicted to prescription pain medication. McDonagh finds himself involved with a drug dealer who is suspected of murdering a family of African immigrants.",Happy
1689,The Counselor,Thriller,2013,2.0,A rich and successful lawyer named Counselor is about to get married to his fiancee but soon meets up with the middleman known as Westray who tells him his drug trafficking plan has taken a horrible twist and now he must protect himself and his soon bridetobe lover as the truth of the drug business uncovers and targets become chosen.,Happy
1690,Waterloo,History,1970,2.0,"After defeating France and imprisoning Napoleon on Elba, ending two decades of war, Europe is shocked to find Napoleon has escaped and has caused the French Army to defect from the King back to him. The best of the British generals, the Duke of Wellington, beat Napolean's best generals in Spain and Portugal, but now must beat Napoleon himself with an Anglo Allied army.",Happy
1691,Dangerous Liaisons,Drama,1988,2.0,Dangerous Liaisons is the film based on the novel of the same name by Choderlos de Laclos set in 18th century France. Marquise de Merteuils asks her exlover Vicomte de Valmont to seduce the future wife of another exlover of hers in return for one last night with her. Yet things dont go as planned in this love triangle drama.,Happy
1692,On the Road,Adventure,2012,2.5,"Dean and Sal are the portrait of the Beat Generation. Their search for It results in a fast paced, energetic roller coaster ride with highs and lows throughout the U.S.",Happy
1693,Star Trek IV The Voyage Home,Science Fiction,1986,2.0,"Fugitives of the Federation for their daring rescue of Spock from the doomed Genesis Planet, Admiral Kirk (William Shatner) and his crew begin their journey home to face justice for their actions. But as they near Earth, they find it at the mercy of a mysterious alien presence whose signals are slowly destroying the planet. In a desperate attempt to answer the call of the probe, Kirk and his crew race back to the late twentieth century. However they soon find the world they once knew to be more alien than anything they've encountered in the far reaches of the galaxy!",Happy
1694,Rocky Balboa,Drama,2006,1.5,"When he loses a highly publicized virtual boxing match to exchamp Rocky Balboa, reigning heavyweight titleholder, Mason Dixon retaliates by challenging Rocky to a nationally televised, 10round exhibition bout. To the surprise of his son and friends, Rocky agrees to come out of retirement and face an opponent who's faster, stronger and thirty years his junior.",Inspired
1695,Scream 2,Horror,1997,2.0,"Two years after the terrifying events that occurred in Woodsboro, Sidney is now attending Windsor College in Cincinnati, and Gale Weathers' best selling book on Sidney's life has now been made into a major motion picture. When two college students are killed in a theatre while watching the new film 'Stab', Sidney knows deep down that history is repeating itself.",Happy
1696,Jane Got a Gun,Action,2016,1.5,"After her outlaw husband returns home shot with eight bullets and barely alive, Jane reluctantly reaches out to an exlover who she hasn't seen in over ten years to help her defend her farm when the time comes that her husband's gang eventually tracks him down to finish the job.",Happy
1697,Think Like a Man Too,Comedy,2014,2.0,"All the couples are back for a wedding in Las Vegas, but plans for a romantic weekend go awry when their various misadventures get them into some compromising situations that threaten to derail the big event.",Happy
1698,The Whole Nine Yards,Comedy,2000,1.5,"A mobster named Jimmy the Tulip agrees to cooperate with an FBI investigation in order to stay out of prison he's relocated by the authorities to a life of suburban anonymity as part of a witness protection program. It's not long before a couple of his new neighbors figure out his true identity and come knocking to see if he'd be up for one more hit, suburban style.",Happy
1699,Footloose,Drama,1984,2.0,"When teenager Ren and his family move from bigcity Chicago to a small town in the West, he's in for a real case of culture shock.",Happy
1700,Old School,Comedy,2003,1.5,Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater.,Happy
1701,The Fisher King,Comedy,1991,2.5,Two troubled men face their terrible destinies and events of their past as they join together on a mission to find the Holy Grail and thus to save themselves.,Happy
1702,I Still Know What You Did Last Summer,Horror,1998,1.5,"Unfinished business with coed Julie James brings the murderer to the Bahamas to terrorize her and her friends, Karla, Tyrell and Will, during a vacation. Can Ray Bronson who survived a bloody attack alongside Julie two summers ago, get to the island in time to save everyone?",Happy
